No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック
282	＋α	仲介手数料 戸建て	40	70	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
283	＋α	仲介手数料 国土交通省	44	50	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
284	＋α	仲介手数料 告示	N/A	N/A	削除			
285	＋α	仲介手数料 交渉 不動産	46	0	削除			
286	＋α	仲介手数料 国税庁	65	10	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
287	＋α	仲介手数料 最低金額	28	140	記事	Know（手数料の上下限を知りたい）	解説記事	費用の内訳
288	＋α	仲介手数料 最大	46	70	記事	Know（手数料の上下限を知りたい）	解説記事	費用の内訳
289	＋α	仲介手数料 33万円 条件	N/A	0	削除			
290	＋α	仲介手数料 先払い	30	40	記事	Know（いつ・どう払うのかわからない）	FAQ記事	支払い・負担者
291	＋α	仲介手数料 裁判	43	10	記事	Know（請求された金額が違法でないか確認したい）	要確認	その他（要確認）
292	＋α	仲介手数料 下げる	45	20	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
293	＋α	仲介手数料 支払調書	N/A	70	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
294	＋α	仲介手数料 取得価額	22	170	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
295	＋α	仲介手数料 仕訳	34	210	記事	Do（仕訳・勘定科目を調べたい）	解説記事	会計処理
296	＋α	仲介手数料 取得費	27	50	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
297	＋α	仲介手数料 支払い時期	43	50	記事	Know（いつ・どう払うのかわからない）	要確認	その他（要確認）
298	＋α	仲介手数料 資産計上	29	70	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
299	＋α	仲介手数料 シミュレーション	32	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	
300	＋α	仲介手数料 取得価格	24	20	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
301	＋α	仲介手数料 suumo	42	20	削除			ブランドKW
302	＋α	仲介手数料 住友不動産	30	0	削除			
303	＋α	仲介手数料 少ない 不動産	45	40	記事	Know（不動産取引の手数料全体を知りたい）	ガイド記事	不動産関連
304	＋α	仲介手数料 少ない	N/A	0	削除			
305	＋α	仲介手数料 住み替え	N/A	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
306	＋α	仲介手数料 住友不動産販売	N/A	10	削除			ブランドKW
307	＋α	不動産売却 仲介手数料 住まいソリューション サイト	26	0	削除			
308	＋α	不動産売却 仲介手数料 住まいソリューション相談	25	0	削除			
309	＋α	不動産 仲介手数料 suumo	N/A	0	削除			
310	＋α	不動産売却 仲介手数料 住まいソリューション	26	0	削除			
311	＋α	仲介手数料 正規	26	30	記事	Know（手数料の内訳が知りたい）	解説記事	費用の内訳
312	＋α	仲介手数料 請求書	32	170	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
313	＋α	仲介手数料 折半	28	40	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
314	＋α	仲介手数料 請求書 テンプレート	45	50	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
315	＋α	仲介手数料 成功報酬	29	10	記事	Know（支払い条件を確認したい）	要確認	その他（要確認）
316	＋α	仲介手数料 センチュリー21	24	320	削除			ブランドKW
317	＋α	仲介手数料 制限	N/A	0	削除			
318	＋α	仲介手数料 請求書 ひな形	N/A	30	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
319	＋α	仲介手数料 生活保護	26	10	記事	Know（特殊なケースの手数料を知りたい）	要確認	その他（要確認）
320	＋α	仲介手数料 正規手数料	N/A	0	削除			
321	＋α	仲介手数料 損金	30	20	記事	Know（計上時期・損金処理を知りたい）	解説記事	会計処理
322	＋α	仲介手数料 損金算入時期	23	20	記事	Know（計上時期・損金処理を知りたい）	解説記事	会計処理
323	＋α	仲介手数料 速算式	25	90	計算ページ	Do（正確な金額を計算したい）	計算ツール	
324	＋α	仲介手数料 高い	36	210	記事	Do（高すぎる手数料に対処したい）	ハウツー記事	高い場合の対処
325	＋α	仲介手数料 宅建業法	29	480	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
326	＋α	仲介手数料 高すぎる	36	110	記事	Do（高すぎる手数料に対処したい）	ハウツー記事	高い場合の対処
327	＋α	仲介手数料 誰が払う	42	70	記事	Know（誰が負担するのかわからない）	FAQ記事	支払い・負担者
328	＋α	仲介手数料 建物消費税	28	70	記事	Know（消費税がかかるか確認したい）	解説記事	消費税解説
329	＋α	仲介手数料 宅建業法違反	N/A	0	削除			
330	＋α	仲介手数料 宅建	26	210	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
331	＋α	仲介手数料 高い 不動産	43	30	記事	Know（不動産取引の手数料全体を知りたい）	ガイド記事	不動産関連
332	＋α	仲介手数料 建物	50	20	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
333	＋α	仲介手数料 建売	34	390	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
334	＋α	仲介手数料 中古マンション	34	1000	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
335	＋α	仲介手数料 長期前払費用	N/A	0	削除			
336	＋α	仲介手数料 駐車場代	26	70	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
337	＋α	仲介手数料 駐車場	34	590	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
338	＋α	仲介手数料 中古住宅	26	320	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
339	＋α	仲介手数料 月極駐車場	41	0	削除			
340	＋α	仲介手数料 常口アトム	25	0	削除			
341	＋α	仲介手数料 仕入税額控除	24	10	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
342	＋α	仲介手数料 通常	46	0	削除			
343	＋α	仲介手数料 月々	N/A	0	削除			
344	＋α	仲介手数料 月	45	0	削除			
345	＋α	仲介手数料 通達	N/A	0	削除			
346	＋α	仲介手数料 仕入	32	0	削除			
347	＋α	仲介手数料 通関	19	0	削除			
348	＋α	居住用賃貸建物 仲介手数料 仕入税額控除	32	20	記事	Know（税金の扱いを知りたい）	ガイド記事	賃貸特化
349	＋α	仲介手数料 低廉な空き家	34	50	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
350	＋α	仲介手数料 定額	27	50	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
351	＋α	仲介手数料 低廉	40	30	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
352	＋α	仲介手数料 手付金	33	50	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
353	＋α	仲介手数料 手付解除	27	20	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
354	＋α	仲介手数料 手数料	N/A	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
355	＋α	仲介手数料 店舗	N/A	10	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
356	＋α	仲介手数料 低額	44	0	削除			
357	＋α	仲介手数料 定義	45	10	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
358	＋α	仲介手数料 低廉 800万円	29	0	削除			
359	＋α	仲介手数料 とは	28	2400	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
360	＋α	仲介手数料 土地	39	260	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
361	＋α	仲介手数料 特例	44	40	記事	Know（法改正が自分に影響するか知りたい）	要確認	その他（要確認）
362	＋α	仲介手数料 土地 計算	30	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	
363	＋α	仲介手数料 東急リバブル	37	20	削除			ブランドKW
364	＋α	仲介手数料 土地 消費税	27	30	記事	Know（消費税がかかるか確認したい）	解説記事	消費税解説
365	＋α	仲介手数料 土地建物 按分	28	40	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
366	＋α	仲介手数料 土地 取得価額	22	20	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
367	＋α	仲介手数料 当方不払い	N/A	0	削除			
368	＋α	仲介手数料 土地購入	39	320	記事	Know（購入時の手数料を把握したい）	ガイド記事	売買特化
369	＋α	仲介手数料 なし 賃貸	25	590	記事	Know（賃貸で手数料を安くする方法を知りたい）	ガイド記事	賃貸特化
370	＋α	仲介手数料 なし	35	480	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
371	＋α	仲介手数料 何パーセント	43	90	記事	Know（手数料の計算ルールを知りたい）	解説記事	費用の内訳
372	＋α	仲介手数料 なし 不動産	34	480	記事	Know（無料の不動産会社を探したい）	解説記事	無料の仕組み
373	＋α	仲介手数料 なくすには	48	40	記事	Do（手数料を払わずに済ませたい）	ハウツー記事	節約・回避
374	＋α	仲介手数料 何ヶ月分	45	40	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
375	＋α	仲介手数料 なしにする方法	28	110	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
376	＋α	仲介手数料 なぜ	N/A	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
377	＋α	仲介手数料 なんj	23	0	削除			
378	＋α	仲介手数料 何回払う	44	0	削除			
379	＋α	仲介手数料 二重取り	20	30	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
380	＋α	仲介手数料 二重	20	20	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
381	＋α	仲介手数料 ニッショー	35	260	削除			ブランドKW
382	＋α	仲介手数料 二ヶ月分	24	0	削除			
383	＋α	仲介手数料 20万円以上 国税庁	N/A	0	削除			
384	＋α	仲介手数料 抜き行為	27	10	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
385	＋α	仲介手数料 値引き	37	210	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
386	＋α	仲介手数料 値引き交渉	44	110	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
387	＋α	仲介手数料 値切る	37	880	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
388	＋α	仲介手数料 値切る客	35	1000	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
389	＋α	仲介手数料 値下げ	43	40	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
390	＋α	仲介手数料 値切り方	46	50	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
391	＋α	仲介手数料 値切れるか	N/A	0	削除			
392	＋α	仲介手数料 値段	44	30	記事	Know（いくら払うのか相場を知りたい）	要確認	その他（要確認）
393	＋α	仲介手数料 値切れる	28	880	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
394	＋α	仲介手数料 値切る 賃貸	43	20	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
395	＋α	仲介手数料 載ってない	41	0	削除			
396	＋α	仲介手数料 ノルマ	41	0	削除			
397	＋α	仲介手数料 野村不動産	45	0	削除			
398	＋α	仲介手数料 のれん	N/A	0	削除			
399	＋α	仲介手数料 農地	N/A	0	削除			
400	＋α	m&a 仲介手数料 のれん	N/A	0	削除			
401	＋α	野村不動産 仲介手数料 割引	29	70	削除			ブランドKW
402	＋α	野村の仲介 仲介手数料	45	20	記事	Know（業界の仕組み・慣習を知りたい）	要確認	その他（要確認）
403	＋α	野村 仲介手数料 割引	N/A	0	削除			
404	＋α	農地売買 仲介手数料	23	40	記事	Know（売買の手数料ルールを知りたい）	ガイド記事	売買特化
405	＋α	仲介手数料 半額	34	480	記事	Buy（手数料を安くする方法を探したい）	比較記事	安くする方法
406	＋α	仲介手数料 半額 不動産	35	320	記事	Know（不動産取引の手数料全体を知りたい）	ガイド記事	不動産関連
407	＋α	仲介手数料 払いたくない	34	140	記事	Do（手数料を払わずに済ませたい）	FAQ記事	支払い・負担者
408	＋α	仲介手数料 払わなくていい	49	50	記事	Do（手数料を払わずに済ませたい）	FAQ記事	支払い・負担者
409	＋α	仲介手数料 払うタイミング	45	40	記事	Know（いつ・どう払うのかわからない）	FAQ記事	支払い・負担者
410	＋α	仲介手数料 半分	N/A	40	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
411	＋α	仲介手数料 半金	26	30	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
412	＋α	仲介手数料 ハウスメイト	N/A	N/A	削除			
413	＋α	仲介手数料 費用計上	33	10	記事	Know（経費にできるか知りたい）	解説記事	会計処理
414	＋α	仲介手数料 引き上げ	46	10	記事	Know（法改正が自分に影響するか知りたい）	要確認	その他（要確認）
415	＋α	仲介手数料 比較	32	50	記事	Buy（安い不動産会社を見つけたい）	比較記事	比較・ランキング
416	＋α	仲介手数料 非課税	43	30	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
417	＋α	仲介手数料 100万円	43	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
418	＋α	仲介手数料 必要経費	32	10	記事	Know（経費にできるか知りたい）	解説記事	会計処理
419	＋α	仲介手数料 必要	43	10	記事	Do（手数料を払わずに済ませたい）	ハウツー記事	節約・回避
420	＋α	仲介手数料 100万円以下	42	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
421	＋α	仲介手数料 費用	47	10	記事	Know（手数料の計算ルールを知りたい）	解説記事	費用の内訳
422	＋α	仲介手数料 非課税業者	N/A	10	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
423	＋α	仲介手数料 不動産売買 計算	31	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	
424	＋α	仲介手数料 不動産売却	40	880	記事	Know（売却時の手数料を把握したい）	ガイド記事	売買特化
425	＋α	仲介手数料 不要	34	90	記事	Do（手数料を払わずに済ませたい）	ハウツー記事	節約・回避
426	＋α	仲介手数料 平均	31	170	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
427	＋α	仲介手数料 変更	22	40	記事	Know（法改正が自分に影響するか知りたい）	要確認	その他（要確認）
428	＋α	仲介手数料 返金	28	50	記事	Do（払った手数料を取り戻したい）	FAQ記事	支払い・負担者
429	＋α	仲介手数料 減らす方法	N/A	0	削除			
430	＋α	仲介手数料 平均 賃貸	N/A	10	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
431	＋α	仲介手数料 返還請求	29	10	記事	Do（払った手数料を取り戻したい）	FAQ記事	支払い・負担者
432	＋α	仲介手数料 法律	26	390	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
433	＋α	仲介手数料 法律 上限	24	110	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
434	＋α	仲介手数料 法改正	34	70	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
435	＋α	仲介手数料 本体価格	N/A	0	削除			
436	＋α	仲介手数料 法定	46	40	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
437	＋α	仲介手数料 法定調書	33	30	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
438	＋α	仲介手数料 法定手数料	N/A	0	削除			
439	＋α	仲介手数料 報酬額	46	30	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
440	＋α	仲介手数料 法人税	N/A	10	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
441	＋α	仲介手数料 ホームメイト	34	480	削除			ブランドKW
442	＋α	仲介手数料 マンション	26	590	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
443	＋α	仲介手数料 満額	50	20	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
444	＋α	仲介手数料 毎月払う	30	20	記事	Know（いつ・どう払うのかわからない）	FAQ記事	支払い・負担者
445	＋α	仲介手数料 マンション売却	38	720	記事	Know（売却時の手数料を把握したい）	ガイド記事	売買特化
446	＋α	仲介手数料 マンション購入	25	260	記事	Know（購入時の手数料を把握したい）	ガイド記事	売買特化
447	＋α	仲介手数料 マックス	44	0	削除			
448	＋α	仲介手数料 前払い	28	20	記事	Know（前払費用の処理を知りたい）	解説記事	会計処理
449	＋α	仲介手数料 前払費用	32	10	記事	Know（前払費用の処理を知りたい）	解説記事	会計処理
450	＋α	仲介手数料 マージン	42	0	削除			
451	＋α	仲介手数料 満額とは	N/A	0	削除			
452	＋α	仲介手数料 三井のリハウス	34	260	削除			ブランドKW
453	＋α	仲介手数料 ミニミニ	34	1600	削除			ブランドKW
454	＋α	仲介手数料 見積書	22	20	記事	Do（請求された手数料が正しいか確認したい）	FAQ記事	確認方法
455	＋α	仲介手数料 見方	41	0	削除			
456	＋α	仲介手数料 未払い	41	10	記事	Know（いつ・どう払うのかわからない）	要確認	その他（要確認）
457	＋α	仲介手数料 無料	34	4400	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
458	＋α	仲介手数料 無料 不動産	26	1300	記事	Know（無料の不動産会社を探したい）	解説記事	無料の仕組み
459	＋α	仲介手数料 無料 賃貸	34	1900	記事	Know（賃貸で手数料を安くする方法を知りたい）	ガイド記事	賃貸特化
460	＋α	仲介手数料 無料 なぜ	34	480	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
461	＋α	仲介手数料 無料 からくり	34	880	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
462	＋α	仲介手数料 無料 不動産 賃貸	25	90	記事	Know（賃貸で手数料を安くする方法を知りたい）	ガイド記事	賃貸特化
463	＋α	仲介手数料 無料 サイト	19	140	記事	Know（無料の不動産会社を探したい）	解説記事	無料の仕組み
464	＋α	仲介手数料 無料 デメリット	34	480	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
465	＋α	仲介手数料 無料にする方法	49	20	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
466	＋α	仲介手数料 無料 東京	20	170	削除			地域KW
467	＋α	仲介手数料 目安	41	40	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
468	＋α	仲介手数料 免税業者	25	10	記事	Know（税金の扱いを知りたい）	解説記事	税金関連
469	＋α	仲介手数料 名義変更	29	0	削除			
470	＋α	仲介手数料 免除	45	0	削除			
471	＋α	仲介手数料 メリット	30	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
472	＋α	仲介手数料 名目	N/A	0	削除			
473	＋α	仲介手数料 明細書	32	0	削除			
474	＋α	仲介手数料 免許	N/A	0	削除			
475	＋α	仲介手数料 免税	26	0	削除			
476	＋α	仲介手数料 メリット デメリット	33	0	削除			
477	＋α	仲介手数料 元付 客付	41	0	削除			
478	＋α	仲介手数料 求め方	30	30	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
479	＋α	仲介手数料 両手取り	40	10	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
480	＋α	仲介手数料 申込金	24	0	削除			
481	＋α	仲介手数料 申し込み後 交渉	48	10	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
482	＋α	仲介手数料 戻ってくる	29	0	削除			
483	＋α	仲介手数料 安くする方法	37	140	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
484	＋α	仲介手数料 安い	40	260	記事	Buy（手数料を安くする方法を探したい）	比較記事	安くする方法
485	＋α	仲介手数料 安くする	39	170	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
486	＋α	仲介手数料 家賃	37	210	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
487	＋α	仲介手数料 安い 賃貸	25	210	記事	Know（賃貸で手数料を安くする方法を知りたい）	ガイド記事	賃貸特化
488	＋α	仲介手数料 家賃より高い	44	70	記事	Do（高すぎる手数料に対処したい）	ハウツー記事	高い場合の対処
489	＋α	仲介手数料 家賃の半分	45	30	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
490	＋α	仲介手数料 安いところ	46	50	記事	Buy（手数料を安くする方法を探したい）	比較記事	安くする方法
491	＋α	仲介手数料 融資	N/A	10	記事	Know（特殊なケースの手数料を知りたい）	要確認	その他（要確認）
492	＋α	仲介手数料 輸出免税	27	0	削除			
493	＋α	仲介手数料 輸入	17	0	削除			
494	＋α	仲介手数料 友人	23	0	削除			
495	＋α	仲介手数料 輸入申告	N/A	0	削除			
496	＋α	ゆーみーらいふ 仲介手数料	N/A	0	削除			
497	＋α	ユニライフ 仲介手数料	34	30	削除			ブランドKW
498	＋α	ユニライフ 仲介手数料 いくら	34	10	削除			ブランドKW
499	＋α	融資利用の特約による解除 仲介手数料	22	0	削除			
500	＋α	ユウキホーム 仲介手数料	21	10	記事	Know（特定会社の手数料を知りたい）	要確認	その他（要確認）
501	＋α	仲介手数料 読み方	24	90	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
502	＋α	仲介手数料 ランキング	50	30	記事	Buy（安い不動産会社を見つけたい）	比較記事	比較・ランキング
503	＋α	仲介手数料 ランキング 不動産	N/A	0	削除			
504	＋α	仲介手数料 ランキング 賃貸	51	0	削除			
505	＋α	仲介手数料 無料 ライン	N/A	0	削除			
506	＋α	ラキア不動産 仲介手数料	N/A	0	削除			
507	＋α	ラテルーム 仲介手数料	34	50	削除			ブランドKW
508	＋α	ライフルホームズ 仲介手数料	38	0	削除			
509	＋α	ライフハウジング 仲介手数料	15	10	記事	Know（特定会社の手数料を知りたい）	要確認	その他（要確認）
510	＋α	ライフクリエイト 仲介手数料	13	10	記事	Know（特定会社の手数料を知りたい）	要確認	その他（要確認）
511	＋α	ラックハウジング 仲介手数料	17	20	削除			ブランドKW
512	＋α	仲介手数料 領収書 印紙	33	140	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
513	＋α	仲介手数料 両手	25	110	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
514	＋α	仲介手数料 領収書	25	170	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
515	＋α	仲介手数料 両手 違法	39	90	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
516	＋α	仲介手数料 両手とは	41	20	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
517	＋α	仲介手数料 両手 上限	42	50	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
518	＋α	仲介手数料 両方から	42	0	削除			
519	＋α	仲介手数料 率	42	40	記事	Know（手数料の計算ルールを知りたい）	解説記事	費用の内訳
520	＋α	仲介手数料 領収書 但し書き	31	20	記事	Do（書類・帳票を作成したい）	解説記事	会計処理
521	＋α	仲介手数料 料率	47	10	記事	Know（手数料の計算ルールを知りたい）	解説記事	費用の内訳
522	＋α	仲介手数料 ルール	30	20	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
523	＋α	不動産 仲介手数料 ルール	N/A	0	削除			
524	＋α	賃貸 仲介手数料 ルール	N/A	0	削除			
525	＋α	ルームコア 仲介手数料	24	50	削除			ブランドKW
526	＋α	ルームワン 仲介手数料	15	50	削除			ブランドKW
527	＋α	ルームセレクト 仲介手数料 いくら	33	40	削除			ブランドKW
528	＋α	ルームコネクト 仲介手数料	N/A	0	削除			
529	＋α	ルームピア 仲介手数料	14	30	削除			ブランドKW
530	＋α	ルームズ賃貸 仲介手数料	23	30	削除			ブランドKW
531	＋α	ルームセレクト 仲介手数料	47	10	削除			ブランドKW
532	＋α	仲介手数料 礼金	42	50	記事	Know（初期費用の全体像を把握したい）	解説記事	初期費用比較
533	＋α	仲介手数料 礼金 違い	22	320	記事	Know（初期費用の全体像を把握したい）	解説記事	初期費用比較
534	＋α	仲介手数料 礼金 交渉	47	40	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
535	＋α	仲介手数料 廉価	42	0	削除			
536	＋α	仲介手数料 〇円	N/A	N/A	削除			
537	＋α	仲介手数料 礼金 無料	26	10	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
538	＋α	仲介手数料 礼金 なし	N/A	0	削除			
539	＋α	仲介手数料 礼金 別	N/A	0	削除			
540	＋α	仲介手数料 レオパレス	N/A	0	削除			
541	＋α	仲介手数料 例	45	0	削除			
542	＋α	仲介手数料 ローン	30	90	記事	Know（ローンに手数料を含められるか知りたい）	ガイド記事	ローン関連
543	＋α	仲介手数料 6万円とは	N/A	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
544	＋α	仲介手数料 ローンに組み込む	29	110	記事	Know（支払い方法の選択肢を知りたい）	FAQ記事	支払い・負担者
545	＋α	仲介手数料 ローン特約	20	10	記事	Know（ローンに手数料を含められるか知りたい）	ガイド記事	ローン関連
546	＋α	仲介手数料 ローン手数料	N/A	0	削除			
547	＋α	仲介手数料 分かれとは	N/A	90	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
548	＋α	仲介手数料 割引	27	140	記事	Buy（手数料を安くする方法を探したい）	比較記事	安くする方法
549	＋α	仲介手数料 割引 交渉	43	20	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
550	＋α	仲介手数料 分かれ	23	90	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	仕組み解説
551	＋α	仲介手数料 割合	42	50	記事	Know（手数料の計算ルールを知りたい）	解説記事	費用の内訳
552	＋α	仲介手数料 割引 不動産	44	50	記事	Know（不動産取引の手数料全体を知りたい）	ガイド記事	不動産関連
553	＋α	仲介手数料 割引 キャンペーン	N/A	0	削除			
554	＋α	仲介手数料 分かれ 片手	N/A	0	削除			
555	＋α	仲介手数料 割引 賃貸	30	30	記事	Know（賃貸の手数料ルールを知りたい）	ガイド記事	賃貸特化
556	＋α	仲介手数料 分かれ 賃貸	28	0	削除			
557	＋α	ntt 仲介手数料	N/A	0	削除			
558	＋α	仲介手数料 ガイドライン	42	30	記事	Know（法律上の上限ルールを確認したい）	要確認	その他（要確認）
559	＋α	仲介手数料 会社によって違う	24	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
560	＋α	仲介手数料 額	N/A	10	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
561	＋α	仲介手数料 概算	30	0	削除			
562	＋α	仲介手数料 買付手数料 違い	N/A	0	削除			
563	＋α	仲介手数料 学長	N/A	0	削除			
564	＋α	仲介手数料 学割	N/A	0	削除			
565	＋α	仲介手数料 外形標準課税	N/A	0	削除			
566	＋α	仲介手数料 ガイドライン 賃貸	N/A	0	削除			
567	＋α	エイブル 仲介手数料 学割	N/A	10	削除			ブランドKW
568	＋α	仲介手数料 業務委託料	19	10	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
569	＋α	仲介手数料 義務	N/A	10	記事	Know（法律上の上限ルールを確認したい）	要確認	その他（要確認）
570	＋α	仲介手数料 業法	30	10	記事	Know（法律上の上限ルールを確認したい）	解説記事	法律・規制
571	＋α	仲介手数料 業者売主	N/A	10	記事	Know（売主・買主どちらが負担するか知りたい）	ガイド記事	売買特化
572	＋α	仲介手数料 業者間	30	10	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
573	＋α	仲介手数料 逆算	33	0	削除			
574	＋α	仲介手数料 業法違反	25	0	削除			
575	＋α	仲介手数料 決め方	43	0	削除			
576	＋α	仲介手数料 業務委託料 違法	N/A	0	削除			
577	＋α	仲介手数料 業務委託料 違い	18	20	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
578	＋α	仲介手数料 グループ会社	29	0	削除			
579	＋α	グランドネクスト不動産 仲介手数料	41	20	削除			ブランドKW
580	＋α	グランデ 仲介手数料	23	0	削除			
581	＋α	グランディハウス 仲介手数料	30	10	削除			ブランドKW
