No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
157	＋α	相続税 3000万円	47	590	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
158	＋α	相続税 300万円	53	170	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
159	＋α	相続税 3000万以下	54	110	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
160	＋α	相続税 3600万円以下	33	70	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
161	＋α	相続税 3年以内	31	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
162	＋α	相続税 3億	45	260	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
163	＋α	相続税 3600万円	54	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
164	＋α	相続税 3000万円控除	52	110	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
165	＋α	相続税 3人	49	70	記事	Know（相続人数別の税額を知りたい）	相続・贈与	解説	ガイド記事	人数別	相続税_人数別		権威構築	補足
166	＋α	相続税 3年以内取得 不動産	30	40	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
167	＋α	相続税 4000万円	47	320	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
168	＋α	相続税 400万	53	210	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
169	＋α	相続税 4200万円	57	50	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
170	＋α	相続税 4500万円	49	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
171	＋α	相続税 4800万円	54	40	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
172	＋α	相続税 4000万円 いくら	33	20	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
173	＋α	相続税 4億円	53	40	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
174	＋α	相続税 4ヶ月以内	N/A	20	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
175	＋α	相続税 4人	N/A	40	記事	Know（相続人数別の税額を知りたい）	相続・贈与	解説	ガイド記事	人数別	相続税_人数別		権威構築	補足
176	＋α	相続税 450万	N/A	0	削除			解説		検索なし			対象外	不要
177	＋α	相続税 500万	33	720	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
178	＋α	相続税 5000万	32	480	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
179	＋α	相続税 5000万 いくら	33	110	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
180	＋α	相続税 500万 いくら	33	70	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
181	＋α	相続税 5億	33	90	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
182	＋α	相続税 5000万 子供2人	51	0	削除			解説		検索なし			対象外	不要
183	＋α	相続税 5年	43	30	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
184	＋α	相続税 5年ルール	51	30	記事	Know（相続税のルールを知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
185	＋α	相続税 55パーセント	78	70	記事	Know（相続税の具体例を知りたい）	具体例	解説	ガイド記事	具体例・ケース	相続税_具体例・ケース		権威構築	補足
186	＋α	相続税 5億円	33	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
187	＋α	相続税 600万	56	170	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
188	＋α	相続税 6000万	46	390	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
189	＋α	相続税 6000万 子供2人	51	0	削除			解説		検索なし			対象外	不要
190	＋α	相続税 6億円	33	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
191	＋α	相続税 60万	49	20	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
192	＋α	相続税 6000万円 いくら	33	0	削除			解説		検索なし			対象外	不要
193	＋α	相続税 6項	25	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
194	＋α	相続税 600万円 いくら	N/A	0	削除			解説		検索なし			対象外	不要
195	＋α	相続税 600万×法定相続人	N/A	N/A	削除			解説		検索なし			対象外	不要
196	＋α	相続税 6000万 2人	51	20	記事	Know（相続人数別の税額を知りたい）	相続・贈与	解説	ガイド記事	人数別	相続税_人数別		権威構築	補足
197	＋α	相続税 7年	42	260	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
198	＋α	相続税 7年ルール	55	90	記事	Know（相続税のルールを知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
199	＋α	相続税 7000万円	33	210	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
200	＋α	相続税 700万	49	90	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
201	＋α	相続税 7年遡る	33	50	記事	Know（相続税のルールを知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
202	＋α	相続税 7億	44	20	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
203	＋α	相続税 7年 いつから	47	30	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
204	＋α	相続税 70万	49	20	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
205	＋α	相続税 7000万 子供2人	31	0	削除			解説		検索なし			対象外	不要
206	＋α	相続税 7年前	N/A	20	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
207	＋α	相続税 8000万円	45	170	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
208	＋α	相続税 800万	49	210	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
209	＋α	相続税 8000万 いくら	32	30	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
210	＋α	相続税 80万円	N/A	0	削除			解説		検索なし			対象外	不要
211	＋α	相続税 80パーセント	33	30	記事	Know（相続税の具体例を知りたい）	具体例	解説	ガイド記事	具体例・ケース	相続税_具体例・ケース		権威構築	補足
212	＋α	相続税 8割減	39	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
213	＋α	相続税 800万 いくら	33	0	削除			解説		検索なし			対象外	不要
214	＋α	相続税 8000万円 子供2人	29	0	削除			解説		検索なし			対象外	不要
215	＋α	相続税 8億	43	0	削除			解説		検索なし			対象外	不要
216	＋α	相続税 8年	N/A	0	削除			解説		検索なし			対象外	不要
217	＋α	相続税 9000万円	45	110	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
218	＋α	相続税 900万円	47	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
219	＋α	相続税 90万	33	0	削除			解説		検索なし			対象外	不要
220	＋α	相続税 9表	27	10	記事	Do（書式・様式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
221	＋α	相続税 9条	22	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
222	＋α	相続税 9億	28	0	削除			解説		検索なし			対象外	不要
223	＋α	相続税 9表 書き方	27	0	削除			解説		検索なし			対象外	不要
224	＋α	相続税 9ヶ月	N/A	0	削除			解説		検索なし			対象外	不要
225	＋α	相続税 90	33	0	削除			解説		検索なし			対象外	不要
226	＋α	相続税 9万円	29	0	削除			解説		検索なし			対象外	不要
227	＋α	相続税 アメリカ	26	1000	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
228	＋α	相続税 按分割合	30	140	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
229	＋α	相続税 ある国 ない国	24	40	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
230	＋α	相続税 アパート	39	320	記事	Know（不動産での相続税を知りたい）	その他	解説	解説記事	不動産特化	相続税_不動産特化		権威構築	補足
231	＋α	相続税 ある国	30	170	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
232	＋α	相続税 空き家特例	48	50	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
233	＋α	相続税 圧縮	33	50	記事	Know（相続税の節税テクニックを知りたい）	手続き・対策	解説	解説記事	節税対策	相続税_節税対策		権威構築	補足
234	＋α	相続税 あらまし	51	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
235	＋α	相続税 按分割合 小数点	N/A	30	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
236	＋α	相続税 按分割合 計算	N/A	20	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
237	＋α	相続税 いくら	49	1900	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
238	＋α	相続税 いつまで	33	1300	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
239	＋α	相続税 いつ払う	42	1300	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
240	＋α	相続税 いつから	47	1300	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
241	＋α	相続税 wiki	33	70	削除			解説		QAサイト			対象外	不要
242	＋α	相続税 裏技	35	40	記事	Know（相続税の節税テクニックを知りたい）	手続き・対策	解説	解説記事	節税対策	相続税_節税対策		権威構築	補足
243	＋α	相続税 受取人 税金	56	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
244	＋α	相続税 うざい	33	20	記事	Know（相続税の問題点を知りたい）	法律・制度	解説	解説記事	制度問題	相続税_制度問題		権威構築	補足
245	＋α	相続税 内訳	52	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
246	＋α	相続税 受取人	33	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
247	＋α	相続税 腕時計	27	10	記事	Know（動産の相続税を知りたい）	その他	解説	解説記事	動産評価	相続税_動産評価		権威構築	補足
248	＋α	相続税 受け取ってから	33	0	削除			解説		検索なし			対象外	不要
249	＋α	相続税 受け取る側	54	0	削除			解説		検索なし			対象外	不要
250	＋α	相続税 延滞税	38	720	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
251	＋α	相続税 延納	37	720	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
252	＋α	相続税 英語	42	480	削除			解説		翻訳KW			対象外	不要
253	＋α	相続税 e-tax	44	1000	記事	Do（電子申告について知りたい）	確定申告	解説	ハウツー記事	電子申告	相続税_電子申告		権威構築	補足
254	＋α	相続税 延滞税 計算ツール	47	320	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
255	＋α	相続税 e-tax やり方	33	170	記事	Do（電子申告について知りたい）	確定申告	解説	ハウツー記事	電子申告	相続税_電子申告		権威構築	補足
256	＋α	相続税 延滞	31	140	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
257	＋α	相続税 e-tax 添付書類	47	110	記事	Do（電子申告について知りたい）	確定申告	解説	ハウツー記事	電子申告	相続税_電子申告		権威構築	補足
258	＋α	相続税 延納 利子税	33	110	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
259	＋α	相続税 延滞金	29	210	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
260	＋α	相続税 おかしい	38	320	記事	Know（相続税の問題点を知りたい）	法律・制度	解説	解説記事	制度問題	相続税_制度問題		権威構築	補足
261	＋α	相続税 親から子	46	170	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
262	＋α	相続税 お尋ね 来ない	28	170	記事	Know（税務調査について知りたい）	相続・贈与	解説	解説記事	税務調査	相続税_税務調査		権威構築	補足
263	＋α	相続税 お尋ね	25	320	記事	Know（税務調査について知りたい）	相続・贈与	解説	解説記事	税務調査	相続税_税務調査		権威構築	補足
264	＋α	相続税 表	33	170	記事	Do（書式・様式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
265	＋α	相続税 納め方	48	140	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
266	＋α	相続税 親子	80	170	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
267	＋α	相続税 お尋ね 時期	30	70	記事	Know（税務調査について知りたい）	相続・贈与	解説	解説記事	税務調査	相続税_税務調査		権威構築	補足
268	＋α	相続税 甥っ子	28	50	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
269	＋α	相続税 お尋ね 確率	30	70	記事	Know（税務調査について知りたい）	税金	解説	解説記事	税務調査	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
270	＋α	相続税 確定申告	50	1600	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
271	＋α	相続税 海外	28	590	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
272	＋α	相続税 改正	44	390	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
273	＋α	相続税 改正 2026	29	90	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
274	＋α	相続税 株式	32	3600	記事	Know（株式の相続税評価を知りたい）	相続・贈与	解説	解説記事	株式評価	相続税_株式評価		権威構築	補足
275	＋α	相続税 課税対象	33	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
276	＋α	相続税 家屋 評価	27	260	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
277	＋α	相続税 かからない金額	49	1600	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
278	＋α	相続税 株式評価	30	320	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
279	＋α	相続税 何	57	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
280	＋α	相続税 期限	32	1600	記事	Know（相続税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	相続税_時期・スケジュール		権威構築	補足
281	＋α	相続税 兄弟	43	720	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
282	＋α	相続税 金額	51	480	記事	Know（相続税の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	相続税_相場ガイド		権威構築	補足
283	＋α	相続税 クレジットカード	33	110	記事	Do（相続税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
284	＋α	相続税 クレジットカード払い	33	110	記事	Do（相続税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
285	＋α	相続税 クレジットカード納付	33	40	記事	Do（相続税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
286	＋α	相続税 国	49	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
287	＋α	相続税 クレジットカード 手数料	33	30	記事	Do（相続税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
288	＋α	相続税 国別	28	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
289	＋α	相続税 車代	28	10	記事	Know（動産の相続税を知りたい）	その他	解説	解説記事	動産評価	相続税_動産評価		権威構築	補足
290	＋α	相続税 国の収入	N/A	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
291	＋α	相続税 繰り延べ	40	0	削除			解説		検索なし			対象外	不要
292	＋α	相続税 区分所有補正率	27	0	削除			解説		検索なし			対象外	不要
293	＋α	相続税 経費になるもの	31	140	記事	Do（相続税の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	相続税_会計処理		権威構築	補足
294	＋α	相続税 家の評価額	32	140	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
295	＋α	相続税 子供	49	0	削除			解説		検索なし			対象外	不要
296	＋α	相続税 国税	49	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
297	＋α	相続税 更正の請求	27	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
298	＋α	相続税 固定資産税評価額	40	390	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
299	＋α	相続税 子供 控除	50	0	削除			解説		検索なし			対象外	不要
300	＋α	相続税 国税庁	50	480	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
301	＋α	相続税 最高税率	33	320	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
302	＋α	相続税 債務控除	25	390	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
303	＋α	相続税 債務	33	110	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
304	＋α	相続税 算出方法	56	140	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
305	＋α	相続税 さかのぼる	33	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
306	＋α	相続税 最大	33	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
307	＋α	相続税 シュミレーション	30	4400	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
308	＋α	相続税 障害者控除	26	1900	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
309	＋α	相続税 支払い方法	42	1300	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
310	＋α	相続税 小規模宅地等の特例	42	720	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
311	＋α	相続税 小規模宅地の特例	29	880	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
312	＋α	相続税 住んでいる家	31	320	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
313	＋α	相続税 少なくする方法	50	50	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
314	＋α	相続税 推移	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
315	＋α	相続税 住んでいる土地	46	30	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
316	＋α	相続税 数次相続	33	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
317	＋α	相続税 スケジュール	30	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
318	＋α	相続税 進め方	N/A	0	削除			解説		検索なし			対象外	不要
319	＋α	相続税 スキーム	31	0	削除			解説		検索なし			対象外	不要
320	＋α	相続税 数千万	54	0	削除			解説		検索なし			対象外	不要
321	＋α	相続税 水道光熱費	29	0	削除			解説		検索なし			対象外	不要
322	＋α	相続税 生前贈与	57	9900	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
323	＋α	相続税 生命保険	33	12100	記事	Know（保険の相続税を知りたい）	相続・贈与	解説	解説記事	生命保険	相続税保険		権威構築	補足
324	＋α	相続税 生命保険控除	50	720	記事	Know（保険の相続税を知りたい）	控除・特例	解説	解説記事	生命保険	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
325	＋α	相続税 節税	31	590	記事	Know（相続税対策を知りたい）	手続き・対策	解説	解説記事	節税対策	相続税_節税対策		権威構築	補足
326	＋α	相続税 政治家	27	210	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
327	＋α	相続税 世界	27	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
328	＋α	相続税 精算課税制度	45	880	記事	Know（相続税のルール・制度を知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
329	＋α	相続税 生前贈与加算	49	90	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
330	＋α	相続税 生前贈与 7年	43	90	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
331	＋α	相続税 生前贈与 非課税	56	70	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
332	＋α	相続税 相談	30	1300	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
333	＋α	相続税 葬儀費用	31	1300	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
334	＋α	相続税 速算表	32	1000	記事	Do（書式・様式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
335	＋α	相続税 孫	45	1000	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
336	＋α	相続税 相談 税務署	41	880	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
337	＋α	相続税 相談 無料	31	720	記事	Know（相続税がゼロ・不要のケースを知りたい）	控除・特例	解説	解説記事	非課税・ゼロ	相続税_非課税・ゼロ		権威構築	補足
338	＋α	相続税 相続人	56	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
339	＋α	相続税 相談 どこ	31	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
